p,Іноземна мова,Історія України,Біологія,Географія,Математика,Творчий конкурс,Українська література,Українська мова,Українська мова і література,Фізика,Хімія
1,173,168,,,147,,,160,,,
1,131,152,,,150,,,177,,,
2,,145,144,,148,,,144,,,
1,,138,160,,131,,,146,,,
1,118,142,,,145,,,143,,,
5,,142,,149,123,,,146,,,
0,,145,,154,115,,,146,,,
1,,140,,,131,,,148,,125,
3,,130,,146,123,,,140,,,
0,,142,,,108,,156,149,,,
0,,147,,147,100,,,148,,,
0,145,141,,,108,,,134,,,
1,109,150,,,115,,,144,,,
1,,160,,148,173,,,170,,,
1,155,136,,,170,,,172,,,
1,,144,,154,149,,,149,,,
0,155,138,,,143,,,157,,,
3,162,136,,,140,,,149,,,
3,155,143,,,140,,,138,,,
1,152,124,,,149,,,136,,,
1,,136,,,145,,,145,,131,
1,131,138,,,115,,,154,,,
0,,136,,147,100,,,140,,,
0,131,130,,,100,,,146,,,
1,,,138,,164,,,173,,,
1,145,150,,,167,,,157,,,
1,149,160,,,163,,,149,,,
4,,141,,,163,,,165,,148,
1,147,147,,,152,,,156,,,
1,,151,,,155,,,152,,145,
1,,149,,144,143,,,167,,,
2,134,144,,,148,,,165,,,
2,149,140,,,143,,,154,,,
1,145,147,,,143,,,149,,,
1,153,142,,,134,,,156,,,
1,159,136,,,147,,,131,,,
1,,153,,,134,,,142,,,
4,,142,,148,140,,,145,,,
1,166,142,,,123,,,145,,,
1,,152,148,,140,,,125,,,
2,,147,,140,131,,,144,,,
2,,136,,147,134,,,136,,,
3,,140,,,140,,,139,,,
1,,142,,,131,,,142,,,
3,,,146,,131,,,148,,,
1,,145,,147,123,,,144,,,
4,137,169,,,131,,,131,,,
2,,124,136,,140,,,131,,,
2,148,143,,,115,,,149,,,
2,,141,,138,123,,,142,,,
2,163,,,,114,,,138,,,
1,150,143,,,115,,,138,,,
0,,146,,,146,,,140,,,
1,,140,,140,115,,,148,,,
4,,140,,145,123,,,140,,,
5,,138,,,125,,,140,,,
2,,142,,138,108,,,140,,,
1,,146,,149,100,,,142,,,
1,,140,,,123,,134,115,,,
1,,150,,152,108,,,120,,,
1,,134,,150,100,,,140,,,
К,,,,,134,,,136,,,121
1,,151,,149,163,,,163,,,
2,155,148,,,149,,,162,,,
3,,143,,138,147,,,145,,,
4,137,141,,,137,,,163,,,
4,147,138,,,134,,,157,,,
1,,130,,145,140,,,140,,,
4,131,127,,,150,,,142,,,
0,125,124,,,137,,,144,,,
0,,144,,119,134,,,125,,,
2,,142,,134,100,,,138,,,
4,179,172,,,167,,,172,,,
1,151,142,,,173,,,152,,,
1,,177,144,,151,,,160,,,
3,153,140,,,173,,,152,,,
1,,169,,,149,,138,152,,,
4,,154,,148,152,,,162,,,
2,,148,,,150,,,146,,,128
1,,141,,,145,,148,143,,,
2,,142,,149,137,,,148,,,
1,,152,,160,123,,,156,,,
1,,141,,144,134,,,150,,,
1,143,127,,,134,,,156,,,
1,140,140,,,140,,,138,,,
1,,149,,146,134,,,131,,,
3,,147,,,137,,,140,,,
1,,138,,142,131,,,142,,,
3,,142,,,143,,,143,,125,
1,131,148,,,123,,,145,,,
1,,134,,,126,,,143,,,
2,,141,,124,123,,,149,,,
1,,136,,,128,,,129,,,
2,,141,148,,108,,,140,,,
1,,130,134,,131,,,105,,,
2,,127,,114,108,,,115,,,
1,,124,107,,100,,,131,,,
1,,142,,134,100,,,138,,,
