p,Українська мова,Математика,Історія України,Іноземна мова,Біологія,Фізика,Українська література,Географія,Українська мова і література,Хімія,Творчий конкурс
2,146,150,148,,,,,,,128,
1,143,145,141,,,,148,,,,
2,148,137,142,,,,,149,,,
1,156,123,152,,,,,160,,,
1,150,134,141,,,,,144,,,
1,156,134,127,143,,,,,,,
1,138,140,140,140,,,,,,,
1,131,134,149,,,,,146,,,
3,140,137,147,,,,,,,,
1,142,131,138,,,,,142,,,
3,143,143,142,,,125,,,,,
1,145,123,148,131,,,,,,,
1,143,126,134,,,,,,,,
2,149,123,141,,,,,124,,,
1,129,128,136,,,,,,,,
2,140,108,141,,148,,,,,,
1,105,131,130,,134,,,,,,
2,115,108,127,,,,,114,,,
1,131,100,124,,107,,,,,,
1,138,100,142,,,,,134,,,
